X,Z,Success?,ReachedExit
7.288327,-9.520578,1,1
57.00177,-28.62891,1,1
87.72654,-14.74271,1,3
90.762,-10.46389,1,2
20.84498,-28.59089,1,1
50.84318,-20.56855,-1,0
11.05024,-9.899675,1,1
87.07841,-27.40427,1,3
46.31844,-16.16177,1,2
87.87482,-23.62963,1,3
89.98828,-28.51068,1,3
93.38009,-9.788409,1,2
45.54631,-12.86587,1,2
67.72347,-9.627722,1,2
27.53043,-9.370777,1,1
56.19757,-9.799132,1,2
12.87569,-28.76178,1,1
55.73294,-28.40448,1,1
75.85318,-28.56329,1,1
40.58486,-28.4224,1,1
81.79871,-28.0619,1,3
78.44952,-9.031646,1,2
22.18153,-28.21868,1,1
83.07944,-28.09932,1,3
86.99705,-28.30815,1,3
87.67913,-17.8682,1,3
46.71846,-20.24592,1,1
76.61472,-28.71408,1,1
57.70921,-9.914708,1,2
48.83292,-23.22322,-1,0
89.93158,-13.30459,-1,0
41.70222,-28.20136,-1,0
8.912584,-9.782951,1,1
76.25641,-28.80141,1,1
60.17281,-28.02712,1,1
51.87861,-12.36011,1,2
89.12836,-26.66792,1,3
89.79411,-12.95424,-1,0
76.09596,-9.828376,1,2
47.68875,-5.195369,1,2
69.65676,-28.69849,1,1
87.41261,-15.54665,1,3
87.3243,-27.40923,1,3
90.22614,-22.56475,-1,0
40.79735,-28.21035,-1,0
27.63495,-28.46043,-1,0
89.62872,-16.13922,-1,0
16.89941,-9.719898,1,1
2.059881,-28.45277,1,1
81.00543,-9.425621,1,2
49.37349,-9.694274,1,2
23.72782,-28.05617,1,1
60.76011,-28.78304,1,1
89.08991,-27.58533,1,3
11.18412,-28.86522,1,1
52.85784,-12.21567,1,2
61.83192,-9.128708,1,2
36.03287,-9.707785,1,1
4.640491,-28.7133,1,1
4.577571,-9.347489,0,0
18.33085,-28.39208,1,1
11.84378,-9.085288,1,1
18.32486,-9.270524,1,1
45.51863,-20.69236,1,1
27.03195,-28.85424,1,1
23.62767,-28.74723,1,1
94.25908,-9.481878,1,2
90.6179,-9.644356,1,2
71.41678,-9.178638,1,2
8.075124,-9.920586,1,1
22.20449,-9.210592,1,1
57.78155,-9.966184,1,2
75.45178,-9.595233,1,2
82.66518,-28.49508,1,3
88.81899,-25.03148,1,3
69.11473,-9.140531,1,2
87.12673,-28.19989,1,3
34.9187,-9.213957,1,1
25.6605,-28.44483,1,1
36.76571,-28.26103,1,1
87.53307,-20.62148,1,3
52.10996,-17.29597,-1,0
90.02003,-10.55167,-1,0
53.10389,-28.61513,1,1
3.59994,-28.8818,1,1
47.75445,-14.38683,1,2
12.77994,-9.41996,1,1
28.06468,-28.2439,1,1
70.80606,-28.53224,1,1
28.14426,-28.97361,1,1
57.26279,-9.018788,1,2
34.89778,-28.17736,1,1
47.80264,-23.49717,1,1
74.30767,-28.81341,1,1
89.02608,-25.53517,1,3
79.13075,-28.92112,1,3
28.56102,-28.03514,1,1
53.82653,-28.8418,1,1
87.87747,-26.36847,1,3
87.70583,-28.81857,1,3
29.02235,-28.15231,1,1
92.30999,-9.621362,1,2
91.71029,-25.50008,1,3
87.82272,-18.88385,1,3
89.82777,-23.44696,1,3
62.96665,-28.17232,1,1
50.32997,-6.544863,1,2
44.69117,-11.83536,1,2
54.22573,-28.38986,1,1
65.32143,-28.06933,1,1
17.03744,-9.360983,1,1
49.35097,-6.281379,1,2
89.38855,-20.47678,-1,0
27.61349,-9.485224,-1,0
16.34089,-9.318887,-1,0
43.74574,-28.63766,-1,0
13.92912,-9.06726,1,1
90.68499,-11.89859,1,2
51.57301,-8.080338,1,2
58.54833,-9.992458,1,2
